word,coefficient,Keep
europe,-0.273558551506799,0
traitor,-0.27326434951444,1
godless,-0.273168462390387,1
increasing,-0.272146703554857,0
approved,-0.271218843493255,0
40,-0.271196365260826,0
#termlimits,-0.27119629495918,0
medical,-0.27016599108882,0
#replenishrrf,-0.269023140040342,0
perhaps,-0.268887308366347,0
christian,-0.268485191585584,1
vaccine,-0.26765556173158,0
appear,-0.267521519516433,0
hypocrisy,-0.266543229124222,1
spy,-0.266500161995432,1
disinformation,-0.266410699625407,1
